objectid,network,type,status,strategic_cycling_corridor,local_name,local_type,rd_num,name,side,facility_left,surface_left,width_left,facility_right,surface_right,width_right,lighting,verified_date,bearing,scc_name,comments
1882,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,St Kilda to Dandenong, 
1883,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,CBD to Croydon, 
1884,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Regional Rail Link Trail (Werribee to Caroline Springs), 
1885,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Greenvale to South Morang, 
1886,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Point Cook to Deer Park, 
1887,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Point Cook to Deer Park, 
1888,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Williams Landing to Hoppers Crossing, 
1889,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Regional Rail Link Trail (Werribee to Caroline Springs), 
1890,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Regional Rail Link Trail (Werribee to Caroline Springs), 
1891,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Regional Rail Link Trail (Werribee to Caroline Springs), 
1892,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Regional Rail Link Trail (Werribee to Caroline Springs), 
1893,PBN,Off Road,Proposed,Yes, , ,0, , , , ,0, , ,0, ,1899/12/30 00:00:00+00,0,Regional Rail Link Trail (Werribee to Caroline Springs), 
